user_id,age,device_type,sessions_last_30_days,avg_session_duration_minutes,content_views_last_30_days,likes_last_30_days,shares_last_30_days,days_since_last_login,notifications_clicked_last_30_days,churn
U00342,31,Android,14,6.8,35,7,1,25,5,0
U00343,47,Web,15,6.3,34,8,1,28,1,1
U00344,42,iOS,19,7.1,41,5,1,24,5,0
U00345,61,Android,5,8.3,14,2,0,38,4,0
U00346,30,Android,17,6.4,42,1,0,28,7,0
U00347,65,iOS,13,7.2,34,2,0,28,4,0
U00348,62,iOS,28,14.2,85,19,3,16,13,0
U00349,26,iOS,19,11.0,50,16,2,25,4,0
U00350,25,Android,15,13.2,41,7,1,28,8,0
U00351,43,Web,23,8.8,55,8,1,29,5,0
U00352,20,iOS,11,9.3,16,2,0,44,3,1
U00353,32,iOS,16,9.3,43,10,2,21,10,0
U00354,38,iOS,14,4.3,28,3,0,34,2,0
U00355,64,Web,24,12.9,69,15,0,19,10,0
U00356,65,Web,15,8.9,32,6,1,22,8,0
U00357,25,iOS,9,8.5,22,4,0,40,5,1
U00358,60,Android,27,15.2,90,20,4,13,12,0
U00359,22,Android,11,7.9,23,2,0,34,6,0
U00360,53,Web,9,4.9,17,3,0,29,7,0
U00361,58,iOS,35,11.5,121,41,6,6,13,0
U00362,60,Android,28,16.3,113,29,3,4,15,0
U00363,28,Android,23,8.0,77,15,1,14,5,0
U00364,60,Web,29,11.1,95,19,2,7,17,0
U00365,23,Web,37,10.8,117,36,4,12,13,0
U00366,42,Web,13,7.4,38,8,0,30,9,0
U00367,40,Android,23,10.3,57,13,4,19,13,0
U00368,33,iOS,31,13.8,94,24,4,5,10,0
U00369,19,Web,35,15.8,119,40,8,0,16,0
U00370,55,Android,11,5.6,31,1,0,28,8,1
U00371,34,Android,11,3.5,27,1,0,33,4,0
U00372,49,Web,9,4.8,22,4,0,36,3,1
U00373,37,Android,27,9.8,65,11,1,20,15,0
U00374,35,iOS,31,13.4,101,21,4,7,11,0
U00375,60,iOS,11,1.9,19,1,0,41,3,1
U00376,22,iOS,22,13.6,61,13,3,11,2,0
U00377,53,Android,15,9.9,39,10,0,28,9,0
U00378,53,iOS,16,12.2,61,13,2,8,8,0
U00379,36,Android,27,11.7,90,23,4,10,12,0
U00380,30,Web,4,2.1,10,1,0,34,4,1
U00381,18,Android,11,8.1,22,2,0,31,1,0
U00382,62,iOS,25,14.4,51,10,3,21,4,0
U00383,63,iOS,19,11.7,49,13,1,29,5,0
U00384,29,Android,32,13.2,102,27,4,8,14,0
U00385,19,Android,22,9.2,51,13,0,22,7,0
U00386,23,iOS,7,6.5,21,8,2,37,2,0
U00387,21,Android,17,8.3,46,14,2,23,7,0
U00388,57,Android,26,11.6,79,15,2,13,10,0
U00389,60,iOS,31,14.8,98,20,3,11,12,0
U00390,25,Web,17,7.2,57,11,2,35,6,0
U00391,53,iOS,26,12.6,93,24,3,13,4,0
U00392,26,Android,23,10.1,58,7,2,18,4,0
U00393,35,Web,7,2.3,11,2,0,40,6,1
U00394,46,iOS,8,2.8,14,1,0,35,7,0
U00395,52,Android,21,7.9,51,9,0,29,2,1
U00396,59,Android,8,3.6,14,1,0,43,7,1
U00397,20,Android,23,9.5,55,14,3,35,10,0
U00398,27,Android,15,11.7,34,5,0,22,8,0
U00399,31,iOS,9,7.4,22,3,0,31,9,0
U00400,32,Android,36,15.6,128,31,8,3,18,0
U00401,65,iOS,11,6.7,28,6,1,37,4,0
U00402,55,Android,12,12.9,31,9,1,26,10,0
U00403,33,Android,22,9.9,58,10,1,24,4,0
U00404,64,Android,6,5.4,12,2,0,37,5,0
U00405,41,iOS,30,15.8,103,33,2,5,14,0
U00406,42,iOS,33,15.3,134,45,7,0,13,0
U00407,38,Android,28,11.9,91,19,2,11,11,0
U00408,24,Android,10,5.5,20,3,0,36,3,0
U00409,62,Android,22,11.3,75,11,1,12,14,0
U00410,18,Web,15,9.7,27,6,1,37,3,1
U00411,26,Android,25,9.3,76,21,2,17,10,0
U00412,29,iOS,36,17.9,144,39,12,0,13,0
U00413,31,Android,14,10.7,40,7,0,24,7,0
U00414,24,Android,27,15.2,99,28,4,7,12,0
U00415,18,iOS,8,3.4,11,2,0,40,4,0
U00416,50,iOS,18,9.3,52,11,2,20,7,0
U00417,64,Android,7,7.5,10,2,1,48,3,1
U00418,23,Web,13,7.1,28,5,0,30,8,0
U00419,32,Android,30,17.4,105,21,4,9,10,0
U00420,42,Android,29,12.4,84,15,4,6,6,0
U00421,62,Android,8,6.5,12,1,0,32,6,1
U00422,51,iOS,26,7.4,88,19,3,15,8,0
U00423,54,iOS,30,10.9,87,17,1,6,12,0
U00424,45,Android,12,11.9,39,9,3,15,8,0
U00425,38,Web,17,14.4,45,7,3,19,7,0
U00426,27,iOS,23,15.2,88,15,4,8,9,0
U00427,59,Web,35,15.9,96,22,1,5,12,0
U00428,56,Web,15,12.1,32,4,0,27,4,0
U00429,19,Web,10,8.7,26,3,0,33,4,1
U00430,52,iOS,23,10.2,52,9,0,31,5,0
U00431,22,Android,17,7.6,45,7,1,32,4,0
U00432,53,Android,19,12.7,51,8,0,30,6,0
U00433,57,iOS,14,8.6,34,5,0,32,8,1
U00434,24,Android,28,16.3,77,14,4,9,12,0
U00435,38,iOS,24,15.5,107,35,6,8,11,0
U00436,23,Android,18,12.6,59,6,0,17,9,0
U00437,45,Web,27,11.9,62,8,1,15,5,0
U00438,62,Android,7,2.0,13,0,0,41,2,1
U00439,21,Web,17,7.2,53,13,1,19,13,0
U00440,37,Android,12,6.7,27,4,1,36,3,1
U00441,64,Android,12,9.4,28,5,2,26,13,0
U00442,32,Web,22,8.5,52,12,2,19,8,0
U00443,24,Web,19,11.4,45,7,1,16,4,0
U00444,41,iOS,25,11.7,70,12,1,18,8,0
U00445,42,Web,21,14.3,50,16,2,22,13,0
U00446,49,Android,7,6.0,12,0,0,41,5,1
U00447,33,Web,27,14.3,84,14,2,10,13,0
U00448,63,Android,20,13.5,67,21,2,18,13,0
U00449,43,iOS,13,7.7,31,9,0,24,9,0
U00450,31,Android,14,7.8,32,2,1,27,8,1
U00451,64,Android,19,10.3,48,12,1,16,7,0
U00452,62,iOS,12,9.3,29,5,1,21,12,0
U00453,41,iOS,11,7.2,24,2,0,34,4,0
U00454,19,Android,31,14.0,87,14,2,13,7,0
U00455,46,Web,5,5.3,13,1,0,40,2,0
U00456,44,iOS,15,10.2,43,10,0,24,6,0
U00457,25,Android,8,7.2,6,1,0,39,2,0
U00458,48,iOS,30,15.7,105,26,3,10,12,0
U00459,58,Android,16,9.5,47,6,1,22,6,0
U00460,23,Android,27,15.2,89,18,1,13,9,0
U00461,52,iOS,28,19.2,88,20,3,4,12,0
U00462,24,Android,30,15.8,104,21,4,3,15,0
U00463,53,Android,22,10.7,57,10,2,17,8,0
U00464,38,iOS,8,2.5,11,1,0,42,4,1
U00465,18,Android,27,13.5,78,18,1,17,16,0
U00466,64,Web,24,12.9,59,13,1,8,10,0
U00467,25,iOS,19,4.1,39,5,2,42,6,0
U00468,46,Android,14,4.0,27,3,1,31,5,1
U00469,26,iOS,34,13.3,117,39,6,5,16,0
U00470,62,Android,10,5.8,20,3,1,29,9,0
U00471,53,iOS,21,6.9,60,7,0,24,13,0
U00472,56,Android,32,17.5,101,35,3,6,14,0
U00473,38,Web,17,12.1,48,6,4,34,6,0
U00474,40,Android,21,14.4,82,16,2,16,8,0
U00475,48,iOS,25,9.4,86,27,8,5,11,0
U00476,55,Android,19,8.9,58,10,1,28,7,0
U00477,58,Android,21,14.1,73,15,2,12,11,0
U00478,18,iOS,16,15.3,60,12,2,23,12,0
U00479,49,iOS,9,8.0,16,1,0,48,0,0
U00480,23,Web,9,8.0,20,2,0,28,8,0
U00481,31,Android,14,8.7,35,5,0,26,6,0
U00482,57,Android,7,6.6,20,3,0,36,2,0
U00483,30,Android,4,1.9,15,1,0,48,0,0
U00484,56,Android,20,6.7,47,7,1,28,12,0
U00485,40,Web,12,8.2,36,4,0,31,1,0
U00486,29,Web,24,9.9,72,11,1,23,7,0
U00487,34,Web,16,9.5,47,11,4,21,9,0
U00488,43,Android,40,12.5,137,48,9,0,17,0
U00489,54,Android,16,1.5,39,6,0,30,7,0
U00490,47,iOS,23,6.2,42,5,1,33,3,0
U00491,62,Android,34,17.7,119,40,10,0,17,0
U00492,59,iOS,7,2.4,8,1,0,53,1,0
U00493,54,Android,11,10.4,22,5,1,29,2,0
U00494,46,Android,10,5.7,23,4,0,38,6,0
U00495,31,Web,24,7.5,96,24,4,15,15,0
U00496,37,Android,20,15.2,55,14,2,28,5,0
U00497,23,Web,3,0.5,3,0,0,47,1,1
U00498,35,Android,22,8.5,54,13,1,23,10,0
U00499,62,Android,12,5.8,26,4,0,31,9,0
U00500,38,Android,19,14.0,63,17,2,16,5,0
U00501,23,Android,36,12.5,133,36,9,0,16,0
U00502,49,iOS,24,14.0,69,16,2,34,16,0
U00503,64,Android,16,5.1,37,2,0,31,7,0
U00504,59,iOS,33,18.6,115,35,2,4,16,0
U00505,31,Web,13,5.3,28,4,1,18,8,0
U00506,39,Android,15,8.6,51,11,4,25,7,0
