user_id,age,device_type,sessions_last_30_days,avg_session_duration_minutes,content_views_last_30_days,likes_last_30_days,shares_last_30_days,days_since_last_login,notifications_clicked_last_30_days,churn,cluster,cluster_name
U00062,53,Android,11,9.8,30,6,2,30,5,0,1,Casual Browsers
U00063,35,Android,8,6.5,8,2,0,37,5,1,3,At-Risk/Dormant
U00064,64,Android,3,0.5,8,1,1,52,2,1,3,At-Risk/Dormant
U00065,37,Web,23,13.0,73,17,4,14,15,0,2,Steady Engagers
U00066,33,iOS,22,14.1,69,24,8,7,10,0,0,Power Users
U00067,61,iOS,22,14.6,56,11,1,23,5,0,1,Casual Browsers
U00068,35,Android,13,5.8,23,8,1,30,7,0,1,Casual Browsers
U00069,21,Android,13,9.3,37,9,1,34,5,0,1,Casual Browsers
U00070,40,iOS,17,9.4,55,12,2,18,12,0,1,Casual Browsers
U00071,56,Android,5,8.3,12,0,0,44,2,1,3,At-Risk/Dormant
U00072,27,Android,10,7.4,21,3,0,39,6,0,3,At-Risk/Dormant
U00073,40,iOS,15,5.9,46,9,1,28,10,0,1,Casual Browsers
U00074,24,iOS,14,12.8,34,5,1,25,7,0,1,Casual Browsers
U00075,50,Web,20,14.5,61,12,2,21,5,0,1,Casual Browsers
U00076,40,Android,9,6.1,22,3,0,43,6,0,3,At-Risk/Dormant
U00077,33,iOS,34,14.9,139,33,4,2,17,0,0,Power Users
U00078,28,Android,11,4.0,30,4,0,29,7,0,3,At-Risk/Dormant
U00079,45,Android,20,4.7,42,10,3,32,9,0,1,Casual Browsers
U00080,50,iOS,28,10.1,92,18,1,11,5,0,2,Steady Engagers
U00081,63,Android,16,10.3,37,7,0,30,2,0,1,Casual Browsers
U00082,38,iOS,25,14.2,75,17,2,24,11,0,2,Steady Engagers
U00083,25,Android,9,4.9,36,8,0,32,5,0,3,At-Risk/Dormant
U00084,57,Android,5,6.3,8,0,0,42,0,1,3,At-Risk/Dormant
U00085,48,Web,24,8.4,60,8,1,35,11,0,1,Casual Browsers
U00086,51,Android,7,2.1,11,0,0,43,2,0,3,At-Risk/Dormant
U00087,22,iOS,34,16.2,125,31,3,2,10,0,0,Power Users
U00088,32,Android,21,14.3,63,14,4,8,8,0,2,Steady Engagers
U00089,54,Web,14,1.0,27,4,0,37,4,1,3,At-Risk/Dormant
U00090,57,Android,25,13.7,80,23,8,6,11,0,0,Power Users
U00091,38,Android,9,1.5,16,1,0,34,5,0,3,At-Risk/Dormant
U00092,56,iOS,11,2.5,20,3,0,31,5,1,3,At-Risk/Dormant
U00093,58,Android,13,7.2,38,3,0,27,8,0,1,Casual Browsers
U00094,36,Android,8,4.2,22,4,0,37,6,1,3,At-Risk/Dormant
U00095,61,Web,2,0.5,4,0,0,45,0,1,3,At-Risk/Dormant
U00096,31,iOS,22,11.0,68,14,1,27,9,0,1,Casual Browsers
U00097,29,iOS,20,10.3,68,15,1,20,10,0,2,Steady Engagers
U00098,50,iOS,26,15.1,88,22,5,11,13,0,2,Steady Engagers
U00099,48,Web,18,10.6,51,15,1,20,4,0,1,Casual Browsers
U00100,24,Web,18,11.5,52,12,1,34,6,0,1,Casual Browsers
U00101,57,iOS,36,18.2,137,35,3,2,15,0,0,Power Users
U00102,27,Android,14,0.6,31,3,0,39,5,0,3,At-Risk/Dormant
U00103,56,Android,28,16.4,85,18,1,11,12,0,2,Steady Engagers
U00104,18,iOS,17,15.3,63,12,3,16,11,0,2,Steady Engagers
U00105,56,Web,15,5.9,41,7,2,44,3,1,3,At-Risk/Dormant
U00106,55,iOS,25,9.3,75,21,1,14,14,0,2,Steady Engagers
U00107,55,Android,11,8.6,27,4,0,30,2,0,3,At-Risk/Dormant
U00108,49,Android,33,11.8,112,24,2,46,9,0,2,Steady Engagers
U00109,40,iOS,41,15.1,134,40,9,0,17,0,0,Power Users
U00110,51,Web,11,6.8,24,5,0,30,6,0,3,At-Risk/Dormant
U00111,31,Android,22,14.5,68,19,2,15,8,0,2,Steady Engagers
U00112,55,iOS,11,8.8,27,6,1,35,6,0,1,Casual Browsers
U00113,44,iOS,14,15.6,36,11,2,20,12,0,1,Casual Browsers
U00114,40,Web,6,2.7,9,3,0,41,1,1,3,At-Risk/Dormant
U00115,42,Android,10,5.9,25,4,0,42,7,0,3,At-Risk/Dormant
U00116,45,Web,15,8.7,32,3,0,30,9,0,1,Casual Browsers
U00117,19,iOS,18,7.9,49,7,0,33,9,0,1,Casual Browsers
U00118,24,iOS,17,5.3,44,7,0,29,7,0,1,Casual Browsers
U00119,29,Android,43,17.4,177,51,14,0,13,0,0,Power Users
U00120,23,iOS,22,13.7,57,12,1,23,7,0,1,Casual Browsers
U00121,39,iOS,14,7.7,34,4,1,24,8,0,1,Casual Browsers
U00122,50,Android,19,7.7,45,9,1,26,2,0,1,Casual Browsers
U00123,49,Android,11,8.8,28,4,0,29,7,0,1,Casual Browsers
U00124,40,iOS,16,14.7,40,4,0,31,3,0,1,Casual Browsers
U00125,59,iOS,18,9.9,48,8,0,24,9,0,1,Casual Browsers
U00126,45,Android,16,9.6,40,13,2,40,8,0,1,Casual Browsers
U00127,21,Android,34,11.0,124,37,2,8,18,0,0,Power Users
U00128,54,Android,17,4.8,49,8,0,29,6,0,1,Casual Browsers
U00129,45,Web,12,6.6,27,7,2,44,3,0,3,At-Risk/Dormant
U00130,48,Web,6,3.6,13,0,0,41,4,1,3,At-Risk/Dormant
U00131,45,Android,16,7.2,44,6,0,32,6,0,1,Casual Browsers
U00132,44,Android,36,16.1,121,30,3,2,15,0,0,Power Users
U00133,22,Android,6,2.9,14,1,1,56,2,1,3,At-Risk/Dormant
U00134,44,iOS,7,4.5,12,1,0,40,2,0,3,At-Risk/Dormant
U00135,56,Web,22,14.9,55,14,0,12,6,0,2,Steady Engagers
U00136,32,iOS,5,0.5,11,1,0,43,2,1,3,At-Risk/Dormant
U00137,46,Android,16,10.4,47,12,2,20,7,0,1,Casual Browsers
U00138,19,Android,32,20.3,113,31,6,2,18,0,0,Power Users
U00139,34,Android,21,9.8,42,9,1,23,5,0,1,Casual Browsers
U00140,38,Web,5,4.9,13,0,0,34,4,0,3,At-Risk/Dormant
U00141,65,iOS,16,13.4,58,16,3,16,5,0,2,Steady Engagers
U00142,28,iOS,3,1.7,4,1,0,52,1,1,3,At-Risk/Dormant
U00143,31,Android,12,6.9,28,3,0,37,3,0,3,At-Risk/Dormant
U00144,37,Web,15,8.6,33,5,1,28,7,0,1,Casual Browsers
U00145,65,Android,16,15.0,47,9,0,21,6,0,1,Casual Browsers
U00146,58,Web,5,2.5,7,0,0,49,1,1,3,At-Risk/Dormant
U00147,19,Web,14,8.7,34,7,0,26,5,0,1,Casual Browsers
U00148,29,iOS,25,17.1,102,29,1,0,12,0,2,Steady Engagers
U00149,57,Web,18,6.7,38,8,0,34,5,0,1,Casual Browsers
U00150,20,Android,32,14.7,121,39,5,0,15,0,0,Power Users
U00151,59,iOS,31,17.6,98,28,6,9,12,0,0,Power Users
U00152,31,Android,13,7.7,33,5,0,30,6,0,1,Casual Browsers
U00153,62,iOS,29,15.6,82,29,7,1,16,0,0,Power Users
U00154,32,Android,21,12.1,62,10,2,23,8,0,1,Casual Browsers
U00155,38,Android,15,11.3,28,5,0,31,1,0,1,Casual Browsers
U00156,49,Android,13,13.5,38,2,0,34,1,0,1,Casual Browsers
U00157,24,Android,6,1.2,15,4,0,48,2,1,3,At-Risk/Dormant
U00158,44,iOS,7,8.3,20,0,1,33,9,0,3,At-Risk/Dormant
U00159,42,iOS,5,5.9,14,1,0,44,3,1,3,At-Risk/Dormant
U00160,55,Android,34,17.9,140,41,5,14,18,0,0,Power Users
U00161,65,Web,20,10.3,57,18,4,14,11,0,2,Steady Engagers
U00162,49,Web,20,11.2,41,6,0,29,12,0,1,Casual Browsers
U00163,37,Android,32,15.2,119,29,4,10,15,0,0,Power Users
U00164,37,Android,31,10.0,75,21,1,22,6,0,2,Steady Engagers
U00165,38,iOS,12,9.5,41,8,2,23,8,0,1,Casual Browsers
U00166,57,iOS,9,3.3,15,0,0,38,2,0,3,At-Risk/Dormant
U00167,33,Android,24,7.0,68,16,5,17,7,0,2,Steady Engagers
U00168,26,iOS,6,4.1,22,5,0,38,4,0,3,At-Risk/Dormant
U00169,34,Android,35,10.8,128,39,4,0,16,0,0,Power Users
U00170,19,Android,19,15.7,53,11,0,24,13,0,2,Steady Engagers
U00171,23,iOS,12,2.2,23,3,0,31,4,0,3,At-Risk/Dormant
U00172,22,iOS,23,10.9,53,5,0,23,5,0,1,Casual Browsers
U00173,55,Web,33,12.8,113,26,5,14,11,0,0,Power Users
U00174,52,Android,27,5.5,71,16,3,13,9,0,2,Steady Engagers
U00175,51,Android,31,19.1,100,34,7,0,13,0,0,Power Users
U00176,40,Android,38,24.5,156,45,11,6,20,0,0,Power Users
U00177,52,Android,16,6.9,31,7,1,23,11,0,1,Casual Browsers
U00178,25,Android,16,16.5,48,12,1,18,3,0,1,Casual Browsers
U00179,61,iOS,7,9.3,17,4,0,38,2,0,3,At-Risk/Dormant
U00180,42,iOS,5,0.5,7,0,0,43,6,1,3,At-Risk/Dormant
U00181,63,iOS,27,7.7,78,17,4,16,11,0,2,Steady Engagers
U00182,25,Android,12,6.1,26,2,0,36,4,1,3,At-Risk/Dormant
U00183,41,Android,9,7.5,10,1,0,40,2,1,3,At-Risk/Dormant
U00184,51,iOS,8,1.7,20,4,1,37,7,0,3,At-Risk/Dormant
U00185,41,Android,11,8.0,16,1,0,30,6,0,3,At-Risk/Dormant
U00186,39,Web,16,8.7,50,11,0,25,8,0,1,Casual Browsers
U00187,25,Android,21,7.8,52,9,1,19,8,0,1,Casual Browsers
U00188,36,iOS,19,8.1,57,10,0,37,7,0,1,Casual Browsers
U00189,29,Web,31,11.2,88,23,3,13,6,0,2,Steady Engagers
U00190,32,iOS,35,16.6,130,45,8,0,10,0,0,Power Users
U00191,50,iOS,18,15.1,45,16,4,16,13,0,2,Steady Engagers
U00192,48,iOS,11,5.6,35,7,0,34,3,0,3,At-Risk/Dormant
U00193,47,Android,11,5.3,27,3,1,36,2,0,3,At-Risk/Dormant
U00194,35,iOS,8,6.9,21,1,0,34,5,0,3,At-Risk/Dormant
U00195,64,Web,7,0.5,14,0,0,45,3,1,3,At-Risk/Dormant
U00196,22,Web,6,7.6,17,1,0,47,4,1,3,At-Risk/Dormant
U00197,34,Android,6,1.9,9,0,1,45,8,0,3,At-Risk/Dormant
U00198,23,Android,29,13.9,85,19,3,13,11,0,2,Steady Engagers
U00199,34,iOS,17,8.3,33,4,2,22,6,0,1,Casual Browsers
U00200,64,iOS,20,9.2,59,11,2,22,11,0,1,Casual Browsers
U00201,35,Android,9,10.9,33,6,1,40,4,0,3,At-Risk/Dormant
U00202,61,Android,5,4.9,9,0,0,44,4,1,3,At-Risk/Dormant
U00203,41,Android,7,1.2,10,0,0,43,0,0,3,At-Risk/Dormant
U00204,51,iOS,10,5.2,29,5,0,30,6,0,3,At-Risk/Dormant
U00205,39,Android,23,15.2,75,24,4,17,10,0,2,Steady Engagers
U00206,30,Android,21,13.4,59,15,1,16,11,0,2,Steady Engagers
U00207,54,Android,10,4.2,27,3,0,37,5,0,3,At-Risk/Dormant
U00208,64,Web,11,8.7,32,3,1,32,7,0,1,Casual Browsers
U00209,30,Android,12,7.5,32,6,1,23,8,0,1,Casual Browsers
U00210,55,Android,31,10.7,89,16,4,14,10,0,2,Steady Engagers
U00211,30,iOS,30,11.7,83,20,5,17,7,0,2,Steady Engagers
U00212,52,Android,38,16.7,157,51,6,0,10,0,0,Power Users
U00213,55,Web,20,2.6,47,9,1,27,10,1,1,Casual Browsers
U00214,39,Web,8,1.8,8,0,0,43,2,1,3,At-Risk/Dormant
U00215,53,Android,15,10.0,33,7,1,26,5,0,1,Casual Browsers
U00216,31,Android,14,8.8,37,6,0,36,6,0,1,Casual Browsers
U00217,21,Android,26,15.8,113,29,5,5,17,0,0,Power Users
U00218,22,Android,13,4.5,29,5,1,28,3,0,3,At-Risk/Dormant
U00219,39,Android,22,17.9,80,25,5,10,6,0,2,Steady Engagers
U00220,61,Android,21,9.4,64,15,1,33,9,0,1,Casual Browsers
U00221,24,Android,29,14.6,82,24,2,18,10,0,2,Steady Engagers
U00222,39,iOS,17,11.7,50,11,2,20,9,0,1,Casual Browsers
U00223,51,Android,18,7.0,41,3,0,30,4,0,1,Casual Browsers
U00224,27,Android,9,4.5,18,2,0,40,3,0,3,At-Risk/Dormant
U00225,52,iOS,10,4.7,25,4,0,34,7,0,3,At-Risk/Dormant
U00226,32,Android,9,4.6,12,0,1,42,3,1,3,At-Risk/Dormant
U00227,56,Android,7,5.9,8,0,0,37,5,0,3,At-Risk/Dormant
U00228,45,Android,11,1.4,21,4,0,37,5,0,3,At-Risk/Dormant
U00229,44,Android,22,7.8,64,13,1,21,6,0,1,Casual Browsers
U00230,26,Android,29,13.1,84,20,3,9,13,0,2,Steady Engagers
U00231,40,Web,4,0.5,5,1,0,48,2,1,3,At-Risk/Dormant
U00232,59,Web,20,16.4,72,13,1,14,17,0,2,Steady Engagers
U00233,18,Android,10,2.6,30,1,1,33,7,0,3,At-Risk/Dormant
U00234,54,Android,6,7.2,13,1,0,51,4,1,3,At-Risk/Dormant
U00235,41,iOS,21,9.0,65,17,1,17,7,0,1,Casual Browsers
U00236,52,iOS,33,18.6,124,36,5,5,18,0,0,Power Users
U00237,49,Android,8,8.0,21,1,0,36,3,1,3,At-Risk/Dormant
U00238,38,Android,12,4.8,25,3,0,26,6,1,3,At-Risk/Dormant
U00239,32,Android,2,3.4,8,0,0,44,3,0,3,At-Risk/Dormant
U00240,48,iOS,32,16.9,98,19,1,11,9,0,2,Steady Engagers
U00241,24,Android,10,5.1,16,3,0,37,2,0,3,At-Risk/Dormant
U00242,46,Android,14,14.3,34,10,3,33,9,0,1,Casual Browsers
U00243,22,Android,15,10.3,48,12,2,21,7,0,1,Casual Browsers
U00244,49,Android,7,5.8,16,2,0,42,1,1,3,At-Risk/Dormant
U00245,48,iOS,20,14.8,52,8,1,17,15,0,2,Steady Engagers
U00246,22,iOS,31,15.2,103,21,7,1,5,0,0,Power Users
U00247,54,iOS,15,5.9,30,4,0,34,7,0,3,At-Risk/Dormant
U00248,37,Android,15,6.4,35,5,0,32,6,0,1,Casual Browsers
U00249,55,Android,7,0.5,8,0,0,41,2,0,3,At-Risk/Dormant
U00250,19,Web,13,8.0,29,1,0,32,4,0,3,At-Risk/Dormant
U00251,26,iOS,22,13.0,53,9,0,14,10,0,1,Casual Browsers
U00252,41,Android,12,10.5,15,3,0,29,10,1,1,Casual Browsers
U00253,27,Android,21,16.3,61,10,3,15,13,0,2,Steady Engagers
U00254,33,Web,15,6.8,34,8,1,26,6,0,1,Casual Browsers
U00255,49,iOS,16,7.0,39,10,1,29,9,0,1,Casual Browsers
U00256,24,Web,12,7.4,34,5,0,25,8,0,1,Casual Browsers
U00257,50,iOS,17,12.8,39,8,0,25,9,0,1,Casual Browsers
U00258,22,Android,20,7.2,60,11,4,20,13,0,2,Steady Engagers
U00259,26,Android,19,8.7,56,11,3,34,8,0,1,Casual Browsers
U00260,46,Android,31,8.6,85,16,2,23,14,0,2,Steady Engagers
U00261,56,iOS,30,18.9,105,27,6,3,12,0,0,Power Users
U00262,26,iOS,17,9.5,42,10,0,25,6,0,1,Casual Browsers
U00263,32,Android,10,2.0,21,3,0,43,2,0,3,At-Risk/Dormant
U00264,62,Web,11,9.7,17,0,0,36,3,1,3,At-Risk/Dormant
U00265,65,Android,13,5.8,30,2,0,35,3,0,3,At-Risk/Dormant
U00266,45,Android,17,10.7,53,18,3,21,6,0,1,Casual Browsers
U00267,39,Android,13,1.4,30,4,0,32,4,0,3,At-Risk/Dormant
U00268,34,Web,21,14.9,65,13,3,16,13,0,2,Steady Engagers
U00269,47,Web,28,11.8,99,23,3,9,6,0,2,Steady Engagers
U00270,46,iOS,16,11.0,49,10,0,18,10,0,1,Casual Browsers
U00271,32,Web,25,10.0,67,17,2,13,10,0,2,Steady Engagers
U00272,19,Web,32,9.4,107,24,5,10,11,0,0,Power Users
U00273,25,Web,9,4.2,27,4,0,38,4,0,3,At-Risk/Dormant
U00274,64,Web,5,8.1,8,2,0,42,5,0,3,At-Risk/Dormant
U00275,38,Android,18,11.2,55,11,1,21,12,0,1,Casual Browsers
U00276,41,iOS,9,4.2,13,3,0,43,5,1,3,At-Risk/Dormant
U00277,40,iOS,16,3.9,36,7,0,31,9,1,1,Casual Browsers
U00278,55,iOS,16,14.2,35,9,2,21,4,0,1,Casual Browsers
U00279,21,Android,16,1.3,52,8,0,28,6,1,1,Casual Browsers
U00280,21,iOS,8,7.4,23,2,1,37,3,0,3,At-Risk/Dormant
U00281,31,Web,13,7.5,29,7,0,38,10,0,1,Casual Browsers
U00282,41,Android,11,6.0,22,3,0,41,4,1,3,At-Risk/Dormant
U00283,50,Web,14,4.2,26,4,1,31,6,1,3,At-Risk/Dormant
U00284,41,Android,28,12.9,83,19,3,14,5,0,2,Steady Engagers
U00285,39,Android,17,10.9,39,8,0,25,9,0,1,Casual Browsers
U00286,63,Android,14,13.4,47,6,1,20,8,0,1,Casual Browsers
U00287,25,iOS,11,7.4,37,4,0,35,4,0,3,At-Risk/Dormant
U00288,45,iOS,34,8.5,114,34,7,8,17,0,0,Power Users
U00289,44,Android,13,4.7,24,3,0,50,6,0,3,At-Risk/Dormant
U00290,40,iOS,15,4.0,25,1,0,32,5,1,3,At-Risk/Dormant
U00291,56,Android,13,6.6,22,2,0,32,3,0,3,At-Risk/Dormant
U00292,30,Android,13,6.5,29,2,0,38,5,1,3,At-Risk/Dormant
U00293,63,Web,6,8.2,16,2,1,42,5,1,3,At-Risk/Dormant
U00294,33,iOS,37,16.0,138,35,10,0,18,0,0,Power Users
U00295,44,iOS,16,7.4,29,3,0,31,3,0,3,At-Risk/Dormant
U00296,42,iOS,16,9.0,38,10,0,20,5,0,1,Casual Browsers
U00297,58,Web,25,16.2,78,18,0,14,5,0,2,Steady Engagers
U00298,39,Android,21,9.9,62,13,2,20,11,0,2,Steady Engagers
U00299,31,Android,12,2.1,31,1,0,38,2,0,3,At-Risk/Dormant
U00300,19,Android,24,8.9,56,7,1,25,8,0,1,Casual Browsers
U00301,35,iOS,7,7.3,15,2,1,39,5,1,3,At-Risk/Dormant
U00302,57,iOS,29,16.2,110,34,4,0,15,0,0,Power Users
U00303,18,iOS,34,11.7,86,21,1,24,12,0,2,Steady Engagers
U00304,61,Android,11,6.1,34,4,1,31,3,1,3,At-Risk/Dormant
U00305,44,Android,17,5.7,45,8,2,25,6,0,1,Casual Browsers
U00306,24,iOS,8,2.6,10,1,0,37,1,0,3,At-Risk/Dormant
U00307,32,Web,31,12.6,112,29,3,11,16,0,0,Power Users
U00308,44,Android,9,10.7,23,1,0,37,3,1,3,At-Risk/Dormant
U00309,33,Android,13,8.6,19,3,0,33,4,0,3,At-Risk/Dormant
U00310,23,Android,3,1.9,3,0,0,43,4,0,3,At-Risk/Dormant
U00311,49,Android,21,15.9,58,15,2,24,6,0,2,Steady Engagers
U00312,50,Android,13,8.3,22,2,0,38,4,0,3,At-Risk/Dormant
U00313,23,Android,23,18.2,74,21,1,10,14,0,2,Steady Engagers
U00314,31,iOS,16,5.8,27,2,0,27,3,0,3,At-Risk/Dormant
U00315,29,Android,11,10.4,27,7,0,36,6,0,1,Casual Browsers
U00316,49,Android,12,12.6,36,5,1,43,4,1,1,Casual Browsers
U00317,53,Android,15,6.9,47,7,3,32,5,0,1,Casual Browsers
U00318,52,Web,17,9.1,53,11,1,29,7,0,1,Casual Browsers
U00319,63,Android,11,7.3,25,4,0,33,6,0,3,At-Risk/Dormant
U00320,54,Android,36,14.3,118,27,3,8,13,0,0,Power Users
U00321,33,Android,36,20.7,138,36,4,0,18,0,0,Power Users
U00322,23,iOS,11,4.4,18,1,0,36,0,1,3,At-Risk/Dormant
U00323,47,Web,9,3.1,19,3,0,38,8,0,3,At-Risk/Dormant
U00324,61,Android,16,8.3,32,3,0,58,8,1,3,At-Risk/Dormant
U00325,64,Android,17,10.6,44,3,1,26,6,0,1,Casual Browsers
U00326,29,Android,33,10.3,125,37,5,18,15,0,0,Power Users
U00327,29,iOS,28,14.4,94,21,2,16,9,0,2,Steady Engagers
U00328,19,Web,16,7.4,49,7,1,28,5,0,1,Casual Browsers
U00329,24,Android,18,8.0,47,8,2,29,9,0,1,Casual Browsers
U00330,44,Android,16,3.7,42,6,0,28,4,0,3,At-Risk/Dormant
U00331,44,iOS,11,8.1,27,5,0,32,6,0,3,At-Risk/Dormant
U00332,35,iOS,17,8.7,53,15,0,22,3,0,1,Casual Browsers
U00333,32,Android,17,11.4,35,9,2,22,12,0,1,Casual Browsers
U00334,57,Android,15,5.7,44,7,0,29,5,0,1,Casual Browsers
U00335,40,Android,19,4.0,51,8,1,30,9,0,1,Casual Browsers
U00336,56,iOS,28,13.7,93,31,7,4,11,0,0,Power Users
U00337,64,iOS,6,3.3,8,1,0,38,1,0,3,At-Risk/Dormant
U00338,33,iOS,2,0.5,4,0,0,57,0,1,3,At-Risk/Dormant
U00339,27,Web,20,11.8,62,18,1,23,9,0,2,Steady Engagers
U00340,63,Android,28,19.2,89,20,2,11,10,0,2,Steady Engagers
U00341,48,Android,7,0.5,18,3,0,42,6,0,3,At-Risk/Dormant
U00342,31,Android,14,6.8,35,7,1,25,5,0,1,Casual Browsers
U00343,47,Web,15,6.3,34,8,1,28,1,1,3,At-Risk/Dormant
U00344,42,iOS,19,7.1,41,5,1,24,5,0,1,Casual Browsers
U00345,61,Android,5,8.3,14,2,0,38,4,0,3,At-Risk/Dormant
U00346,30,Android,17,6.4,42,1,0,28,7,0,1,Casual Browsers
U00347,65,iOS,13,7.2,34,2,0,28,4,0,3,At-Risk/Dormant
U00348,62,iOS,28,14.2,85,19,3,16,13,0,2,Steady Engagers
U00349,26,iOS,19,11.0,50,16,2,25,4,0,1,Casual Browsers
U00350,25,Android,15,13.2,41,7,1,28,8,0,1,Casual Browsers
U00351,43,Web,23,8.8,55,8,1,29,5,0,1,Casual Browsers
U00352,20,iOS,11,9.3,16,2,0,44,3,1,3,At-Risk/Dormant
U00353,32,iOS,16,9.3,43,10,2,21,10,0,1,Casual Browsers
U00354,38,iOS,14,4.3,28,3,0,34,2,0,3,At-Risk/Dormant
U00355,64,Web,24,12.9,69,15,0,19,10,0,2,Steady Engagers
U00356,65,Web,15,8.9,32,6,1,22,8,0,1,Casual Browsers
U00357,25,iOS,9,8.5,22,4,0,40,5,1,3,At-Risk/Dormant
U00358,60,Android,27,15.2,90,20,4,13,12,0,2,Steady Engagers
U00359,22,Android,11,7.9,23,2,0,34,6,0,3,At-Risk/Dormant
U00360,53,Web,9,4.9,17,3,0,29,7,0,3,At-Risk/Dormant
U00361,58,iOS,35,11.5,121,41,6,6,13,0,0,Power Users
U00362,60,Android,28,16.3,113,29,3,4,15,0,0,Power Users
